no,title,date,viewCnt,doc_url,content,ref_url
105,도로명→3D 입체로 탈바꿈…주소 개념이 달라진다,2023-03-16,818,https://www.juso.go.kr/notice/NewsBoardDetail.do?mgtSn=109&currentPage=1&searchType=&keyword=,"구글의 모기업 알파벳이 운영하는 업체 ‘윙(Wing)’은 미국과 호주, 핀란드 일부 도시에서 1.2㎏ 한도의 가벼운 물품을 드론으로 배달해준다. 드론이 착륙하지 않고 약 7m 높이에서 줄을 늘어뜨려 물건을 내려놓는 방식이다.

전자상거래 업체 아마존도 10년 가까이 드론 배송에 심혈을 기울여왔다. 최근 안전성을 입증해 미 연방항공청의 승인을 얻었고, 빠르면 올해 말 서비스를 출시할 계획이다.


우리나라에서는 이미 드론 배달 서비스가 상용화됐다. 경기도 가평의 펜션 지역과 편의점을 연결한 것으로 드론 배달 앱을 활용해 손쉽게 주문하도록 설계됐다. 26일 행정안전부에 따르면 가평 시내를 출발해 펜션 밀집 지역까지 차량으로 제품을 운송하면 평균 시속 15.7㎞로 주행이 가능하며, 배송 시간은 89분이 걸린다.

하지만 드론을 활용하면 같은 거리를 26분 만에 배송할 수 있다. 이동시간이 평균 70% 줄어드는 효과가 있다는 의미다. 이 때문에 퀵 배송 경쟁이 치열한 편의점 업계에서 드론 배송에 대한 관심이 높다.


이런 드론 배송은 기존의 도로명 주소가 아니라 새롭게 지정된 사물·입체 주소를 기반으로 한다. 행안부가 추진하는 주소체계 고도화 사업은 2차원 평면개념인 현행 도로명 주소를 3차원 입체주소로 전환하고, 건물에만 부여하던 주소를 지하, 시설물, 공간 등으로 확대·부여하는 사업이다.

촘촘한 주소망이 개발되면 이는 관련 산업을 발전시키는 인프라 역할도 한다. 드론 배송과 함께 떠오르는 유망분야가 자율주행차 발렛 주차, 자율주행 로봇 배송, 실내 내비게이션 등으로 확산되고 있다. 현재 자율주행은 기술적 한계로 최종단계 주차에선 사람의 힘을 쓸 수밖에 없는데 이런 문제들이 해결될 수 있고, GPS 신호가 잡히지 않는 실내나 지하에서도 정확한 위치를 찾을 수 있다.


정부에서는 버스·택시승강장, 둔치 주차장, 어린이공원, 전기차충전소 등 사람들의 이용횟수가 많은 공공시설에도 상세하게 주소를 부여해 활용하고 있다. 이렇게 되면 데이터베이스화된 주소도 로드맵 정도로만 활용되던 것을 벗어나 배송과 주행 영역에서 한층 더 혁신적인 서비스와 결합될 수 있다.

행안부가 발표한 ‘제1차 주소정보 활용 기본계획’을 보면 2026년까지 배달이 가능한 접점은 현재 700만개에서 1400만개로 2배 이상, 지상도로 중심이던 이동경로도 실내와 지하 등으로 확장돼 4배 이상 늘어날 전망이다.

행안부는 “전 국토의 모든 이동경로와 접점을 3차원 입체주소로 디지털화할 수 있다”며 “향후 1조원 규모로 추산되는 주소정보산업도 미래 신산업으로 육성할 계획”이라고 밝혔다.


백상진 기자
☞ 
보도자료 바로가기",https://n.news.naver.com/mnews/article/005/0001562179?sid=102
104,"지하도·정류장, 숲길에도 주소 생긴다. 입체·사물주소 도입 [도로명주소법 개정 시행]",2021-06-09,2362,https://www.juso.go.kr/notice/NewsBoardDetail.do?mgtSn=108&currentPage=1&searchType=&keyword=,"[파이낸셜뉴스] 서울 코엑스, 잠실역 지하상가 등에 각각의 도로명 주소가 생긴다. 
숲길이나 농로 등 도로명이 없어 불편을 겪었던 곳에 국민이 직접 도로명 부여를 신청할 수도 있다. 
사람들이 많이 이용하는 버스정류장,육교 승강기 등에도 사물주소가 새로 만들어진다. 
이렇게 되면 국민들은 길과 위치 찾기가 한층 편리해질 것으로 기대된다.

■지하상가 통로도 주소 생긴다

8일 행정안전부는 이같은 내용의 도로명주소법 개정법률을 9일부터 전면 시행한다고 밝혔다.
이번 입체도로 주소 체계는 복잡해지는 도시구조 변화에 대응하고 주소 사각지대를 없애기 위한 조치다. 
정착 단계에 있는 현행 도로명 주소체계를 좀 더 촘촘하게 입체화한 업그레이드 버전인 셈이다.

이범석 행안부 지역발전정책관은 ""고밀도 입체도시에 맞게 주소체계를 입체화하고 자율주행 배송 등 신산업 분야에서 요구되는 모든 접점에 주소체계를 도입한다는 데 의미가 있다""고 말했다.
개정된 도로명 주소체계는 △촘촘해지고 입체화된 주소 사용 △주소 부여에 대한 국민 신청권 확대 △주소 관련 국민불편 해소 등 크게 세가지로 요약된다.
우선 도로 주소는 그간 지표면 도로에만 부여되는 것이 고가, 지하차도까지 확대된다. 이렇게 되면 고가도로 상의 공간(건물 등), 지하상가 및 지하철역 안 통로에도 모두 주소가 붙는다.

김창남 행안부 주소정책과장은 ""2차원 평면개념 주소체계를 3차원 입체개념으로 확대하는 것이다. 
서울 송파구 잠실역과 같은 복합건물·구조물 안 통로, 상가에도 각각의 주소가 부여된다""고 말했다.

사물 및 공터에도 주소가 생긴다. 
육교승강기, 버스정류장, 택시승강장, 졸음쉼터, 소공원, 어린이공원, 비상급수시설, 인명구조함, 드론 배달점, 둔치 주차장, 지진 해일 대피장소, 옥외지진대피장소 등이다. 
일례로 드론배달점에 주소가 부여되면 섬 지역 등에서 드론을 이용한 배달이 가능해진다.

전주·가로등·신호등과 같은 지주에도 주소(기초번호판)가 부여된다. 
도로변 공터에는 도로구간의 시작 지점부터 끝 지점까지 일정 간격으로 구분해 기초번호가 생긴다.
이처럼 옥외 승강기·대피소 등 건물이 아닌 시설물에 주소를 부여하는 것은 안전사고 등에 대한 신속한 대응을 위해서다.

김 과장은 ""그간 시설물에 대한 정확한 위치표기 방법이 없어 인근 지역 도로명주소를 사용해왔다. 
실제 시설물 위치가 달라 안전사고시 대응이 늦어지는 문제가 있었는데, 이런 어려움이 해소될 것으로 기대한다""고 말했다.

■'동·층·호별 주소달라' 신청 가능
국민들이 도로명을 부여해달라고 관할 당국에 직접 신청할 수 있는 권한은 많아진다. 
숲길, 농로, 샛길과 같이 자주 이용하지만 이름 없는 길이 대상이다. 
매립지 등과 같이 행정구역이 결정되지 않은 지역에도 도로명 주소를 만들 수 있다. 
지역 주민들이 직접 관할구역의 시장·군수·구청장에게 신청하면 된다.

건물의 상세주소 분할도 가능하다. 
임대한 공동주택의 동·층·호별 상세주소를 부여하고자 하면, 임차인 요청 없이도 건물 소유자가 직접 시장·군수·구청장에게 신청할 수 있다. 

김 과장은 ""공동주택에 여러 세대가 입주했어도 주소가 같아 불편했는데, 앞으로는 세대 구분형 공동주택에도 동·층·호별로 별도 상세주소를 받아 다른 주소를 쓸 수 있게 된다""고 설명했다.

주소가 바뀌어도 국민들이 직접 변경할 필요가 없어졌다. 
가족관계등록부·건축물대장·사업자등록증 등 19개 공적장부에 대해 별도의 신청 없이 공공기관장이 주소를 변경한다. 
그간 도로명 변경 등으로 도로명주소가 바뀌면 개인이 해당 기관에 방문해 주소를 바꿔야 해 불편했다.

박성호 행안부 지방자치분권실장은 ""도로명 주소법 전부개정으로 국민의 생활편의, 생활안전이 증진될 것""이라고 말했다.
☞ 
보도자료 바로가기",https://www.fnnews.com/news/202106081950490754
103,"오늘부터 달라지는 주소제도 시행, 생활 속 주소 사각지대 없앤다",2021-06-09,2987,https://www.juso.go.kr/notice/NewsBoardDetail.do?mgtSn=107&currentPage=1&searchType=&keyword=,"오늘부터 달라지는 주소제도 시행, 생활 속 주소 사각지대 없앤다
- 6월 9일(수) ‘도로명주소법’ 개정안 전면 시행 - 
- 도로명 신청권 확대, 사물주소 도입, 입체화 된 주소사용 등-

□ 6월 9일(수)부터 숲길이나, 농로 등 도로명이 없어 불편을 겪었던 곳에 국민이 직접 도로명 부여를 신청할 수 있게 되고, 많은 사람들이 이용하는 육교 승강기 등에도 사물주소가 부여된다. 

□ 행정안전부(장관 전해철)는 도시구조 변화에 맞게 입체화된 주소제도를 6월 9일(수)부터 시행한다고 밝혔다. 
 ○ 행안부는 지난해 12월 8일 도로명주소법이 전부개정 공포됨에 따라, 지난 6개월동안 하위 법령*과 행정규칙(7건)을 전부개정 또는 제정한 바 있다. 
    * 하위 법령 : 도로명주소법 시행령, 도로명주소법 시행규칙, 주소정보시설규칙

□ 개정된 도로명주소법이 시행됨에 따라 ①주소관련 국민의 신청권 확대, ②촘촘해지고 입체화된 주소의 사용, ③주소관련 국민불편 해소 등이 가능해 졌다.

<국민 신청권 확대>
□  앞으로는 자주 사용하는 ‘길’에 도로명이 부여되지 않아 불편한 도로(예: 농로, 샛길)를 대상으로 국민이 직접 관할구역의 ‘시장·군수·구청장’에게 도로명 부여를 신청할 수 있게 됐다. 
 ○ 또한, 그동안 건물의 소유자는 임차인의 요청이 있는 경우에만 상세주소(동·층·호) 부여 신청이 가능했지만, 이제부터는 건물의 소유자가 직접 시장·군수·구청장에게 상세주소(동·층·호) 부여를 신청할 수 있게 됐다. 

<촘촘해지고 입체화된 주소사용>
□ 사물주소*의 도입으로 평소 많은 사람들이 이용하는 육교승강기 등 시설물이나 공터에도 주소가 부여되어 이를 위치 찾기에 사용할 수 있게 된다. 
    * 다중이 이용하는 건물이 아닌 시설물에 도로명과 사물번호로 부여한 주소
 ○ 또한, 그동안 지표면의 도로에만 도로명을 부여하던 것을 지하도로, 고가도로, 내부도로(지하상가, 지하철역 등의 내부통로)로 확대하여 주소를 입체적으로 사용할 수 있게 된다. 
    ※ 고가도로에 위치한 편의시설 및 지하철 승강장 매점에도 주소 부여 가능해짐

<주소관련 국민 불편 해소>
□ 그동안 ‘행정구역 미결정지역’으로 분류되어 도로명주소가 부여되지 않아 주소 사용이 불가능 했던 매립지 등과 같은 곳에도 도로명주소 부여를 신청*할 수 있게 된다. 
    * 시·군·구 행정구역 미결정시 시·도지사, 시·도 행정구역 미결정시 행안부장관에게 신청
 ○ 아울러, 그동안 도로명 변경 등으로 도로명주소가 바뀌면 개인이 해당 기관에 방문하여 주소를 변경하여야하는 불편이 있었지만 이제부터는 건축물대장 등 19개 핵심공부(참고1)에 대하여 해당 공공기관장이 신청 없이 주소를 변경하게 된다.

□ 한편, 도로변에 지주(전주, 가로등 등)를 설치하는 경우에는 반드시 관할지역의 주소업무 담당 부서와 협의해 도로명과 기초번호를 표기해야 한다.
 ○ 또한, 기업이나 공사관계자, 공공기관 등이 도로공사 시 주소정보시설을 훼손할 경우에도 담당부서의 안내를 받아 원상 복구해야 한다. 

□ 끝으로 다양한 주소정보를 이용하여 서비스하려는 기업은 언제든 행정안전부, 시·도, 시·군·구에 정보 제공을 요청할 수 있다.

□ 박성호 행정안전부 지방자치분권실장은 “이번 도로명주소법령의  전부개정으로 국민의 생활편의와 생활안전이 증진될 것을 기대한다.”며 “고도화된 주소체계가 생활 속에 안착되도록 국민의 관심과 참여를 당부드린다.”고 말했다.",
102,"행안부, 2개 이상 시·도 경유하는 자전거도로 26곳에 도로명 부여",2021-02-25,1805,https://www.juso.go.kr/notice/NewsBoardDetail.do?mgtSn=106&currentPage=1&searchType=&keyword=,"행안부, 2개 이상 시·도 경유하는 자전거도로 26곳에 도로명 부여	

서울경제

전국 33개 자전거도로 중 257개에 도로명 부여

행정안전부는 26일부터 2개 이상 시·도를 경유하는 자전거도로 26곳에 도로명을 부여한다고 25일 밝혔다.

이번 조치는 자전거이용 활성화에 관한 법률에 따른 것이다.
해당 법률에 따르면 자전거도로는 △자전거 전용도로 △자전거·보행자 겸용도로 △자전거 전용차로 △자전거 우선도로로 구분된다. 
이번에 도로명을 부여하는 26개 자전거 도로는 2개 이상 시·도를 경유하는 자전거 전용도로로다.

도로명주소법 제8조(도로명 부여 등)에 따라 2개 이상 시·도에 걸친 도로는 행안부 장관이, 2개 이상 시·군·구에 걸친 도로는 시·도지사가, 시·군·구 내 도로는 관할 시장·군수·구청장이 도로명주소를 부여한다. 
지역주민과 관할 지자체 의견수렴, 중앙도로명주소위원회의 심의를 거쳐 부여해야 한다.

지난해 행안부가 조사한 바에 따르면 전국 333개의 자전거 전용도로에 도로명이 필요하다는 지적이 적지 않았다. 
이번에 행안부에서 부여하는 26개를 포함하면 도로명을 부여받은 자전거 전용도로는 총 257개가 된다. 앞서 시·도지사가 부여한 곳은 19개이고 시·군·구청장 부여한 곳은 212개다.

자전거·보행자 겸용도로 등과 같이 일반도로에 인접한 자전거 도로는 주변의 건물이나 시설물 등을 통해 자신의 위치를 비교적 쉽게 확인할 수 있다. 
하지만 자전거 전용도로는 주로 공원이나 하천변 등에 설치되어 있어 정확한 위치를 확인하기가 어렵다는 민원이 꾸준히 제기돼왔다.

자전거 전용도로에 도로명이 부여되면 도로변에 위치한 공중화장실, 휴게소 등에도 도로명주소가 부여된다. 
도로명주소 안내시설도 별도로 설치돼 보다 정확한 위치 안내가 가능해질 전망이다. 
자전거도로의 주소정보는 도로명주소 홈페이지를 통해 소방·경찰·인터넷 포털 등에도 제공된다. 
긴급상황 발생 시 위치 안내에 활용될 뿐만 아니라 내비게이션 등 지도 서비스에서도 이용할 수 있다.

박성호 행안부 지방자치분권실장은 “자전거 전용도로에 도로명이 부여돼 응급상황 등이 발생했을 때 더욱 신속하게 대응할 수 있게 됐다”며 “앞으로도 국민의 생활 안전과 편의 향상을 위해 주소 정보를 더욱 촘촘하게 확대해 나가겠다”고 말했다.
☞ 
보도자료 바로가기",https://www.sedaily.com/NewsVIew/22IO5FAL98
101,고가도로에서 내부통로까지 주소 부여된다,2021-01-28,2108,https://www.juso.go.kr/notice/NewsBoardDetail.do?mgtSn=105&currentPage=1&searchType=&keyword=,"""앞으로 지상에 있는 도로와 건물 중심으로 부여되었던 주소가 고가도로에서 건물 지하에 있는 내부통로까지 부여된다.""


행정안전부는 도로명주소법이 개정ㆍ공포됨에 따라 법률에서 위임한 사항과 개선사항을 반영한 시행령 등 하위법령 3건의 개정안을 28일부터 3월 9일까지 입법예고하고 6월 9일부터 시행한다고 27일 밝혔다.

개정안은 도로명을 부여하는 도로를 지상도로 외에 입체도로(지하ㆍ고가 도로), 내부통로(지하상가 통행로 등)까지 확대한다. 지상도로의 도로명은 현재와 같이 ‘대로, 로, 길’로 부여하되, 입체도로와 내부통로는 각각의 도로 유형과 장소를 나타내는 명칭을 포함해 부여한다.

또 옥외에 설치된 승강기, 대피 시설을 비롯한 버스 및 택시 정류장 등 다중이용 시설물에도 주소가 부여된다. 현재, 건물 중심의 도로명주소 체계가 시설물의 사물주소 체계로 확대되면 다중이 이용하는 다양한 시설물의 위치 찾기가 한결 편리해질 것으로 예상된다.

아울러 도로명 변경 등으로 주소가 바뀌게 된 경우, 본인이 직접 관공서를 찾아 변경하지 않아도 도로명주소 부서에서 변경사항을 일괄적으로 통보하는 서비스가 시행되어 별도로 변경 신청을 해야 하는 불편함을 없앤다.

행안부는 입법예고 기간 동안 국민과 관계기관 등 이해관계자의 다양한 의견을 수렴하여 개정안에 반영할 계획이다.

강해인기자

☞ 
보도자료 바로가기",http://www.kyeonggi.com/news/articleView.html?idxno=2343348
100,‘관할권 분쟁’ 새만금에 임시 주소 부여한다,2021-01-28,2061,https://www.juso.go.kr/notice/NewsBoardDetail.do?mgtSn=104&currentPage=1&searchType=&keyword=,"""도로명주소법 개정안 입법예고, 각종 인허가 등 행정업무 숨통 트일 듯""

전북 군산시, 김제시, 부안군이 행정구역 관할권 다툼을 벌이고 있는 새만금지구에 임시 주소가 부여된다.


행정안전부는 28일 분쟁에 휘말린 새만금지구 등에 임시 주소를 부여하는 내용의 ‘도로명주소법 시행령과 도로명주소법 시행규칙 등 관계 법령 개정안’을 입법예고 했다.

클릭하시면 원본 보기가 가능합니다.개정안은 법적 분쟁으로 행정구역이 결정되지 않은 지역은 시·군·구 이름을 제외한 채 임시로 사업지구명과 도로명주소를 병기하도록 했다.


또 행정구역이 결정되면 사업지구명을 시·군·구명으로 바꿔 사용토록 했다.


이는 주소가 없으면 각종 인허가를 해줄 수 없을뿐 아니라 방범, 세무, 소방, 청소 등 행정행위가 불가능하기 때문이다.


개정안은 오는 3월 9일까지 의견수렴을 거쳐 확정될 전망이다. 시행일은 6월 9일이다.


한편, 새만금지구는 3개 시·군간 관할권 다툼이 해결될 기미를 보이지 않아 새만금권 지자체를 하나로 통합하는 방안이 공론화 되고 있다.


임송학 기자 



☞ 
보도자료 바로가기",http://www.seoul.co.kr/news/newsView.php?id=20210128500105
99,6월부터 지하상가 내부통로 버스정류장 등에도 주소 부여된다,2021-01-27,2011,https://www.juso.go.kr/notice/NewsBoardDetail.do?mgtSn=103&currentPage=1&searchType=&keyword=,"오는 6월부터 도로명주소에 지상도로 이외에도 지하·고가도로, 지하상가 통행로가 포함된다. 버스·택시 정류장과 옥외 승강기, 대피시설 등 다중이용 시설물에도 주소가 부여된다. 

행정안전부는 28일 이같은 내용의 도로명주소법 시행령과 시행규칙, 도로명주소 안내시설규칙 개정안을 입법예고한다고 27일 밝혔다. 3월9일까지 의견수렴 등을 거쳐 6월9일부터 시행된다.

 개정안에 따르면 지상에 있는 도로와 건물 중심으로 부여됐던 주소는 지하도로나 고가도로 등 입체도로와 건물 지하에 있는 내부통로에도 부여된다. 

 입체도로와 내부통로는 각각의 도로 유형과 장소를 나타내는 명칭을 포함할 예정이다. 예컨대 서울지하철 2·8호선 잠실역 지하상가 입점 업소에는 ‘서울특별시 송파구 잠실역중앙통로 110’을 포함한 주소가 부여된다.  

버스 및 택시 정류장과 옥외 설치 승강기, 대피시설 등 여러 사람이 이용하는 시설물에도 주소가 부여된다. 이런 사물주소 표기는 ‘행정구역+도로명+사물번호+시설물의 유형’으로 하고, 부여 기준은 도로명주소와 같은 방법을 적용한다.  

서울 광화문광장 일대 다중이용 시설물의 경우 ‘서울특별시 종로구 세종대로 200 택시승강장(혹은 육교승강기, 지진대피장소)’과 같은 주소가 부여돼 위치 찾기가 한결 수월해질 전망이다. 

새만금 등 행정구역이 아직 결정되지 않은 지역에서 도로명주소를 사용할 때는 행정구역 명칭 대신 사업지역 명칭을 우선 사용하기로 했다. 차후 행정구역이 결정되면 해당 시·도와 시·군·구의 명칭으로 바뀐다. 가령 ‘전라북도 새만금지구 새만금중앙대로3’ 식의 도로명주소를 부여하되 행정구역이 결정된 이후에는 ‘전라북도 ○○시(군) 새만금중앙대로3’으로 변경한다.  

아울러 도로명 변경 등으로 주소가 바뀌게 된 경우, 본인이 직접 관공서를 찾아 변경하지 않아도 된다. 도로명주소 담당 부서에서 변경사항을 일괄적으로 통보하는 서비스가 시행되기 때문이다. 주민등록표나 가족관계등록부, 건축물대장, 외국인등록표, 건물등기부, 법인등기부, 사업자등록, 병적기록표 등 19종의 공문서의 주소가 자동으로 변경된다.

행안부는 도로명주소법 하위법령 개정에 따라 재난이나 위급상황 발생 시 신속한 구조·구급활동이 가능해질 것으로 기대했다. 또 드론 배송이나 자율주행 등 4차산업 핵심기술을 생활에 적용할 수 있는 기반이 마련된 것으로 평가했다.

 

송민섭 기자 stsong@segye.com 

☞ 
보도자료 바로가기",http://www.segye.com/content/html/2021/01/27/20210127511401.html
98,"대전, 자율주행 배달로봇 검증 완료",2021-01-25,2004,https://www.juso.go.kr/notice/NewsBoardDetail.do?mgtSn=102&currentPage=1&searchType=&keyword=,"과학도시 대전에서 자율주행 배달로봇이 달린다.

대전시는 카이스트(KAIST)과 함께 최근 한 달간 ‘도로명주소 기반 자율주행 실증 배달로봇’의 시범운영을 통해 로봇 성능 등에 대한 최종검증을 마쳤다고 24일 밝혔다.

검증을 마친 주소기반 자율주행 실증 배달로봇은 지난해 3월 행정안전부 주관의 ‘주소체계 고도화 및 혁신성장산업 지원’ 선도 지방자치단체 공모에 선정된 사업이다.

대전시는 이 사업을 통해 카이스트 김대영 교수, 심현철 교수 연구팀과 함께 최근 이슈가 되고 있는 자율주행 배달로봇을 도로명주소와 접목해 주소기반 신산업 창출 방향성에 대한 연구를 지원한다.

연구팀은 그동안 대학교, 대형 병원 등이 같은 주소를 사용해 위치 확인에 어려움이 있었다는 점을 감안해 카이스트 내 도로에 대한 도로명과 개별건물에 대한 도로명주소를 시범적으로 부여해 운영한다. 자율주행 배달로봇은 도로명주소체계가 입력된 배달지점를 인식해서 활동하게 된다.

대전시 관계자는 “정보통신기술(ICT) 기반인 4차 산업혁명 시대는 ‘주소’의 개념이 사람의 거소나 법인의 소재지에서 사람과 사람, 사람과 기계 간 위치를 소통할 수 있는 매개체로 역할 확대가 예상된다”며 “앞으로 대전시가 선도적으로 나서 시민들이 공감하고 체감할 수 있는 행정을 위해 최선을 다하겠다”고 말했다.

 

김정모 기자 race1212@segye.com 

☞ 
보도자료 바로가기",http://www.segye.com/content/html/2021/01/24/20210124509762.html
97,‘송파 입체 주소체계’ 전국 확대 눈앞에,2020-12-28,2002,https://www.juso.go.kr/notice/NewsBoardDetail.do?mgtSn=101&currentPage=1&searchType=&keyword=,"도로명주소 고도화 시범사업 지정돼, 잠실역 지하공간 내비 활용 모델 구상


서울 송파구가 지하철 2·8호선 잠실역 지하공간에 처음으로 시범 도입한 ‘입체주소’ 체계가 전국 확대 시행을 눈앞에 뒀다. 구는 실내 주소체계를 활용한 다양한 관련 사업 구상에도 착수한다.

송파구는 최근 공포된 도로명주소법 전부개정안에 따라 내년부터 자전거도로, 농로, 건물 내부 통행로, 고가·지하 차로 등에도 별도의 도로명을 부여할 수 있게 됐다고 27일 밝혔다. 입체주소는 복잡한 대규모 실내 복합공간을 특정할 수 있는 고도화된 주소체계다.

잠실역의 경우 지하 환승로를 따라 여러 점포가 있지만, 2호선 공간을 올림픽로 지하 265, 8호선 공간을 지하 305로 뭉뚱그려 분류할 뿐 법정주소 기준이 명확히 없어 상가 관리번호를 주소로 사용해 왔다. 자연히 우편물 수령이나 고객 방문, 홍보 등에 제약이 많았다.

이에 구는 잠실역 지하공간을 대상으로 도로명주소 체계를 실내로 확대하는 계획을 행정안전부에 제안해 국비 2억 2300만원을 확보하고 지난 6월부터 6개월 동안 ‘잠실역 입체주소 도입 및 활용·활성화’ 사업을 시범 실시했다. 통로에 도로명을 붙이고, 통로 중심선을 따라 20m 간격으로 지정된 기초번호를 이용해 실내 점포들에 주소를 부여했다. 잠실역 및 지하상가와 시설물, 간선급행버스체계(BRT) 일대 약 44.761㎡가 대상이었다.

이 밖에도 구는 지난 17일 내년 행정안전부 도로명주소 고도화 시범사업에 지정돼 국비 2억 4000만원을 확보했다. 올해 구축한 잠실역 입체주소 데이터를 활용해 실내 내비게이션 활용 모델을 개발하는 등 2차 연계 사업을 구상할 계획이다.

박성수 송파구청장은 “지역 상황에 맞게 주민들에게 이동 편의를 제공하고 소상공인의 경제활동에도 도움이 되길 기대한다”고 말했다.

김희리 기자 hitit@seoul.co.kr
☞ 
보도자료 바로가기",http://go.seoul.co.kr/news/newsView.php?id=20201228011003
96,"잠실역 지하에 도로명 주소 모델, 전국화된다",2020-12-24,2006,https://www.juso.go.kr/notice/NewsBoardDetail.do?mgtSn=100&currentPage=1&searchType=&keyword=,"잠실역 지하는 쇼핑, 영화관람, 외식 등을 한 장소에서 해결하는 대규모 입체복합시설이지만, 그간 ‘올림픽로 지하265, 지하305’ 등 지하철 역사 공간에 따른 주소만 있었을 뿐 다수 점포의 세부 주소가 없다보니 우편물 수령은 물론 인터넷 홍보 등에 제약이 따랐다.


구는 잠실역 지하공간 도로명주소 체계를 실내로 확대하는 계획을 행정안전부에 제안, 국비 2억 2300만 원을 확보해 지난 6월부터 6개월 간 ‘잠실역 입체주소 도입 및 활용？활성화’ 사업을 시범 실시했다.

구는 잠실역과 지하상가와 시설물, BRT 일대 약 4만 4761㎡를 대상으로 지하 통로에 도로명을 부여하고, 통로 중심선을 따라 20m간격으로 지정된 기초번호를 이용해 실내 점포에 도로명주소를 부여했다.


예컨대 잠실역 지하공간에서 관리번호 ‘814-102’를 사용하는 상가의 경우, ‘서울특별시 송파구 잠실역중앙통로 110’과 같이 법정주소(도로명주소)를 쓰는 것이다.

이밖에 비상전화, 자동심장충격기, 소화전 등 안전 시설물에는 ‘사물주소’를 부여했다. 향후 인터넷 등에서 위치 조회가 가능하도록 할 계획이다.

이같은 방식의 실내입체주소 개념은 최근 공포된 ‘도로명주소법 전부개정’에 반영됐다. 개정안에 따라 도로법에 따른 도로 외에도 자전거도로, 농로, 건물 내부 통행로, 고가？지하 차도 등에도 별도의 도로명을 부여할 수 있게 된다.

구는 더 나아가 내년 행안부 도로명주소 고도화 시범사업에 지정돼 잠실역 입체 주소 데이터를 활용한 실내 네비게이션 활용 모델 개발에 나선다. 국비 2억 4000만 원을 투입한다.

박성수 구청장은 “잠실역 시범사업을 통해 전국 최초로 실내 공간에 대한 입체주소 부여 기준이 마련되었다”면서 “빠르게 전국에 확대 시행되어 지역 상황에 맞게 주민들에게 다양한 이동편의를 제공하고, 나아가 소상공인의 경제활동에도 큰 도움이 되길 기대한다”고 말했다.

한지숙 기자 

☞ 
보도자료 바로가기",http://biz.heraldcorp.com/view.php?ud=20201224000070
