FRST_REGIST_PNTTM,TURSM_URL,DIST_NM,DIST_TREE_NM,BASIC_URL,GCCT_URL,RPRSNTV_NM,FULLDIST_NM,ORGNZT_URL,DIST_CODE,DIST_CHARTR,FNANC_URL,DIST_ENNM,HP_NM,PLAN_URL,DIST_BIRD_NM,SYMBOL_URL,DIST_ADRES,HP_URL,AR_MG,POPLTN_CO,DIST_BASIC,DIST_FLOWER_NM,NEWS_URL,USE_AT,ASMBLY_URL,NRSTKR_CODE,RPRSNTV_RSPOFC,RPRSNTV_URL,DIST_MASCOT_NM
"{'date': 6, 'day': 2, 'hours': 10, 'minutes': 19, 'month': 1, 'nanos': 0, 'seconds': 30, 'time': 1707182370000, 'timezoneOffset': -540, 'year': 124}",http://news.seoul.go.kr/culture/,서울특별시,은행나무,http://org.seoul.go.kr/org/orgChart.do,https://news.seoul.go.kr/economy/archives/516671,오세훈,서울특별시,http://opengov.seoul.go.kr/organization,1100000000,"1. 대한민국의 수도

2. 전통과 현대가 공존하는 도시

3. 대한민국의 모든 교통이 출발하는 도시

4. 한반도의 서쪽 중심부에 위치하며, 민족의 젖줄인 한강이 흐르고 백두대간에서 갈라져 나온 한북정맥의 영향을 받아 산세가 웅장하고 수려",https://news.seoul.go.kr/gov/archives/category/tax-news_c1/data_finance-c1/data_year_budget-n2#none,Seoul Metropolitan City,서울특별시청,https://news.seoul.go.kr/gov/archives/category/govdata_c1/data_admin-n1_c1/seoul_report-n1,까치,https://www.seoul.go.kr/seoul/flower.do,&#40;100-744&#41; 서울특별시 중구 세종대로 110,http://www.seoul.go.kr,605.24,"9,384,325","서울은 한국의 수도인 동시에 동북아 비즈니스의 중심지이며 한국 산업의 집적지로 아시아 최대 시장인 중국과 일본 사이에 위치해 있습니다. 1960년대부터 시작된 경제개발계획을 기점으로 서울은 대한민국의 경제 중심으로서 우리 경제를 눈부시게 발전시키며 여러 분야에서 급속한 성장을 거듭하였습니다. 오늘날 서울은 금융과 물류의 높은 효율성과 첨단 디지털 산업 및 지식 산업의 강한 경쟁력을 갖고 동북아 비즈니스의 허브 역할을 수행하고 있습니다. 서울의 면적은 전 국토의 0.6%에 불과하지만 한국 GDP의 21%가 서울에서 창출되며, 금융의 50%이상이 서울에 집중되어 있습니다. 또한 첨단 기술을 보유한 벤처 기업들의 43% 이상이 서울에 집중되어 있어 외국인 투자가들의 많은 관심과 투자가 이루어 지고 있습니다.",개나리,http://www.seoul.go.kr/v2012/news/list.html?tr_code=gnb_news,Y,http://www.smc.seoul.kr,1,시장,https://mayor.seoul.go.kr/app/index.do,해치
"{'date': 6, 'day': 2, 'hours': 10, 'minutes': 19, 'month': 1, 'nanos': 0, 'seconds': 30, 'time': 1707182370000, 'timezoneOffset': -540, 'year': 124}",http://tour.jongno.go.kr,서울특별시 종로구,은행나무,http://www.jongno.go.kr/Main.do?menuId=1917&menuNo=1917,https://blog.naver.com/jongno0401/222626511021,정문헌,서울특별시 종로구,http://www.jongno.go.kr/Main.do?menuId=400287&menuNo=400287,1111000000,"1. 서울의 심장부로 국가주요 공공기관이 있어 정치, 경제, 문화 예술의 중추적 역할과 함께 교통 밀집의 도심지역
2. 서울의 주요지정 문화유산 약 절반이 산재한 전통문화의 전승지
3. 인왕산, 북악산, 낙산, 북한산, 고궁, 사적 등 수려한 자연경관",http://www.jongno.go.kr/Main.do?menuId=400290&menuNo=400290,Jongno-gu,종로구청,http://www.jongno.go.kr/portal/bbs/selectBoardList.do?bbsId=BBSMSTR_000000001298&menuId=388344&menuNo=388344,까치,https://www.jongno.go.kr/Main.do?menuId=1897&menuNo=1897,(110-701)서울특별시종로구삼봉로43(수송동146-2),http://www.jongno.go.kr,23.91,"139,378","종로구는 서울특별시의 중북부에 있으며 동쪽으로 동대문구와 성북구, 서쪽에 서대문구, 남쪽으로 중구, 북쪽으로 북한산을 경계로 경기도 고양시와 접해 있다. 면적 23.92㎢. 인구 17만 여명이고 현재 행정구역은 18개 동으로 되어 있다.

종로라는 명칭은 지금의 종로1가에 도성의 8개 문을 여닫는 시각을 알려주는 큰 종을 매달았던 종루(鐘樓)에서부터 비롯되었다. 종루십자가(鐘樓十字街)·종가(鍾街)·운종가(雲從街)라고 칭하기도 했다. 1943년 구제 실시로 설치되어 74개 동·가를 관할하게 되었으며 1944년 성북동이 동대문구로 편입되었고 이후 동 명칭과 관할구역 변경으로 1970년 25개동으로 개편되었다. 1975년에 동대문구 창신동, 숭인동, 신설동 일부와 서대문구 교남동 외 13개동을 편입하면서 26개동으로 증가되었고 1977년 누상동 외 3개동 폐지로 22개동이 되었으며, 1980년 충신동이 종로5․6가동에 편입되어 21개동이 됨.
이후 지속적인 관할구역 조정을 실시하여 1998년 12월에는 종로 3·4가 동사무소가 종로 1·2·3·4가 동사무소에, 세종로 동사무소가 사직동에 통합되었으며, 2008년11월1일자로 청운동과 효자동이 청운효자동으로 통합되어 현재에 이르고 있다. 
",철쭉,http://www.jongno.go.kr/portal/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000201&menuId=1752&menuNo=1752,Y,http://council.jongno.go.kr,1,구청장,http://www.jongno.go.kr/mayorMain.do,종
"{'date': 6, 'day': 2, 'hours': 10, 'minutes': 19, 'month': 1, 'nanos': 0, 'seconds': 30, 'time': 1707182370000, 'timezoneOffset': -540, 'year': 124}",http://www.junggu.seoul.kr/tour/,서울특별시 중구,소나무,http://www.junggu.seoul.kr/content.do?cmsid=14066,http://www.junggu.seoul.kr/content.do?cmsid=14205,김길성,서울특별시 중구,http://www.junggu.seoul.kr/content.do?cmsid=14051,1114000000,"1. 수도 서울의 심장부로서 경제,문화,언론,금융 등 중추기능이 집중되어 있고

2. 지하철 1~6호선이 통과하는 교통의 요충지로써 남대문시장, 롯데,신세계백화점,두산타워, 명동 쇼핑가 등 전통시장과 현대식 쇼핑가가 밀집해 있으며

3. 덕수궁, 숭례문, 명동성당, 한국은행 등 역사와 현대가 어우러진 관광명소 임",http://www.junggu.seoul.kr/content.do?cmsid=14368,Jung-gu,중구청,http://www.junggu.seoul.kr/popup/open.jsp?custom1=841,까치,https://www.junggu.seoul.kr/content.do?cmsid=16048,04558 서울시 중구 창경궁로 17 &#40;예관동&#41;,http://www.junggu.seoul.kr/index.html,9.96,"121,322","중구는 서울특별시 중심에 위치하고 있으며 동쪽으로는 성동구, 서쪽은 마포구·서대문구, 남쪽은 남산을 지나 용산구, 북쪽은 청계천을 경계로 종로구와 접하고 있다. 면적 9.97㎢. 인구는 13만명이고 현재 15개 행정동으로 구성되어 있다.



중구를 포함한 서울지역은 삼한시대에는 위례성·한성, 삼국시대에는 남평양·한성주, 고려시대에는 양주·남경, 조선시대에는 한성부로 명칭이 바뀌었다. 조선시대 중구지역은 도성내의 남쪽으로 남부와 서부지역에 해당되었다. 1910년 한일늑약으로 경기도 예하의 경성부로 격하되었으며, 1943년 4월 경성부 전역에 7개 사무소가 설치되어 중구지역에 중앙사무소가 설치되었고, 동년 6월 경성부 직할구역소로 중구역소가 설치되었다. 1946년 서울시 중구로 승격되었으며 1975년 성동구 신당동과 황학동, 서대문구 중림동이 편입되었다. 

",장미,http://www.junggu.seoul.kr/content.do?cmsid=14231,Y,http://council.junggu.seoul.kr,1,구청장,http://www.junggu.seoul.kr/chief/,하티
"{'date': 6, 'day': 2, 'hours': 10, 'minutes': 19, 'month': 1, 'nanos': 0, 'seconds': 30, 'time': 1707182370000, 'timezoneOffset': -540, 'year': 124}",http://yongsan.kccf.or.kr/,서울특별시 용산구,소나무,https://www.yongsan.go.kr/portal/member/user/orgcht.do?menuNo=200203,https://www.yongsan.go.kr/portal/bbs/B0000041/view.do?nttId=658567&menuNo=200228&sdate=&edate=&deptId=&searchCnd=1&searchWrd=%EC%83%81%ED%92%88%EA%B6%8C&pageIndex=1,박희영,서울특별시 용산구,https://www.yongsan.go.kr/portal/main/contents.do?menuNo=200835,1117000000,"1. 민족공원조성 등 미래 서울의 신 중심지
2. 강남과 강북을 연결하는 교통 요충지
3. 전자상가를 중심으로 한 IT산업 중심지",https://www.yongsan.go.kr/portal/bbs/B0000181/list.do?menuNo=200925,yongsan-gu,용산구청,https://www.yongsan.go.kr/portal/bbs/B0000023/list.do?menuNo=200108,비둘기,https://www.yongsan.go.kr/portal/main/contents.do?menuNo=200223,(140-704) 서울특별시 용산구 녹사평대로150(이태원동),http://www.yongsan.go.kr,21.87,"212,175","용산구는 행정구역상으로는 1896년 4월 17일 한성부 용산방으로 시발되었으며, 광복후인 1945년 10월에 용산구역소의 명칭이 용산구로 개칭되었으며, 1946년 10월 18일부터 [서울 특별시 용산구]로 개칭되어 오늘에 이르고 있습니다.
동제의 실시는 1955년 4월 시조례에 의거 종전의 동회를 행정동으로 하여 현재에 이르고 있습니다.

서울의 중심부에 위치하고 있는 용산구는 경제 및 교통 문화의 중심지로서 중산층이 다수 거주하고 있는 지역입니다. 남쪽으로 한강을, 북쪽으로 남산을 경계로 6개 자치구와 접하고 있으며 한강을 잇는 대교들 중 6개의 한강대교와 경부철도가 용산을 지나고 있어 서울 도심을 잇는 관문이며 교통의 요충이라 할 수 있습니다.

용산구에는 효창공원, 용산가족공원, 전쟁기념관, 한강시민공원 등 도심공원이 많아 주민들이 쾌적한 환경을 누릴 수 있는 자연 휴식 공간이 많습니다. 또한 관내에 미 8군 기지를 비롯하여 많은 외국 공관저와 문화원, 이태원관광특구 등이 있어 타지역에 비해 특히 외국인 거주자가 많은 지역이기도 합니다.

최근 용산구는 경부고속철도의 중앙역사로서의 기능을 담당할 용산역과 첨단전자산업의 중심인 용산전자상가 및 시청사 용산이전, 한강로 일대 100여만 평에 대한 국제정보·행정업무 중심지구로의 개발을 본격 추진하고 있어 향후 서울을 경제, 문화, 행정의 중심지로 크게 탈바꿈할 것으로 기대하고 있습니다.",장미,https://www.yongsan.go.kr/portal/bbs/B0000041/list.do?menuNo=200228,Y,https://www.yscl.go.kr/,1,구청장,https://www.yongsan.go.kr/mayor/main/main.do,없음
"{'date': 6, 'day': 2, 'hours': 10, 'minutes': 19, 'month': 1, 'nanos': 0, 'seconds': 30, 'time': 1707182370000, 'timezoneOffset': -540, 'year': 124}",https://www.sd.go.kr/tour/index.do,서울특별시 성동구,느티나무,https://www.sd.go.kr/main/contents.do?key=1431&,https://www.sd.go.kr/main/selectBbsNttView.do?bbsNo=183&nttNo=323442&&pageUnit=10&searchCnd=SJ&searchKrwd=%EC%83%81%ED%92%88%EA%B6%8C&key=1472&pageIndex=1,정원오,서울특별시 성동구,https://www.sd.go.kr/main/contents.do?key=1304&,1120000000,"1. 서울 동북지역 부도심, 강남과 강북을 연결하는 교통의 요충지
2. 청계천, 중랑천, 한강 등 서울에서 가장 긴수변과 접하고 있는 수변도시이자 서울 숲이있는 녹색의 자연친화적 도시
3. 주택재개발 사업이 활발히 진행 중인 신흥 고품격 주거단지",https://www.sd.go.kr/main/selectBbsNttList.do?bbsNo=550&key=1329&,Seongdong-gu,성동구청,https://www.sd.go.kr/pr/selectBbsNttList.do?bbsNo=243&key=2062&,참매,https://www.sd.go.kr/main/contents.do?key=1382&,"(133-701) 서울특별시 성동구 고산자로270
(행당동 7번지)",https://www.sd.go.kr/main/index.do,16.86,"277,090","성동구는 서울특별시 중동부에 있으며 동쪽은 광진구, 서쪽은 중구·용산구, 남쪽은 한강을 경계로 강남구,북쪽은 동대문구·중랑구와 접하고 있다. 면적 16.84㎢. 인구 30만 8058명이고 현재 20개의 행정동으로 되어 있다.

선사시대 때부터 사람이 거주하였던 성동구 일대는 신라시대 한산주·한양군, 고려시대 양주·한양부 등으로 지명이 변하였다. 조선시대에는 한성부 남부 두모방·인창방에 속하였고 1914년 고양군에 편입되었다가 1949년 다시 서울시 성동구로 편입되었다. 1970년대 중반까지 184㎢로서 서울시 전역의 30.4％를 점했던 성동구는 하나씩 분구되어 강남, 서초, 송파, 강동구가 되었으며 1995년 다시 광진구와 성동구로 분구되었다.
",개나리,https://www.sd.go.kr/main/selectBbsNttList.do?bbsNo=183&key=1472&,Y,http://sdcouncil.sd.go.kr,1,구청장,https://www.sd.go.kr/mayor/index.do,미소
"{'date': 6, 'day': 2, 'hours': 10, 'minutes': 19, 'month': 1, 'nanos': 0, 'seconds': 30, 'time': 1707182370000, 'timezoneOffset': -540, 'year': 124}",http://www.gwangjin.go.kr/portal/main/contents.do?menuNo=200241,서울특별시 광진구,느티나무,http://www.gwangjin.go.kr/portal/main/contents.do?menuNo=200202,https://www.gwangjin.go.kr/portal/main/contents.do?menuNo=201418,김경호,서울특별시 광진구,http://www.gwangjin.go.kr/portal/main/contents.do?menuNo=200205,1121500000,"1.고구려의 기상과 혼이 살아 숨쉬는 역사의 도시
2. 지하철 역세권 중심의 발전 잠재력이 높은 지역
3. 풍부한 녹지공간과 서울동부의 교통 요충지",http://www.gwangjin.go.kr/portal/bbs/B0000099/list.do?menuNo=200132,Gwangjin-gu,광진구청,http://www.gwangjin.go.kr/portal/bbs/B0000107/list.do?menuNo=200086,까치,https://www.gwangjin.go.kr/portal/main/contents.do?menuNo=200199,(05026) 서울특별시 광진구 자양로 117 (자양동 777),http://www.gwangjin.go.kr,17.06,"335,335","광진구는 서울특별시 동부에 있으며? 북쪽은 중랑구와 경기도 구리시, 동쪽과 남쪽은 한강을 사이에 두고 각각 강동구와 송파구, 서쪽은 성동구와 동대문구에 접한다. 면적 17.05㎢. 인구 37만 3998명이고 행정구역은 16개 동을 관할한다.

조선시대의 경기도 양주군 고양주면에 속하였던 곳으로 일제시대에는 경기도 고양군 뚝도면에 속하였으며, 해방후 1949년 뚝도출장소를 설치, 서울특별시에 편입하였다. 1968년 뚝도출장소를 폐지하고 관할구역을 성동구 직할로 편입하였다가 1995년 성동구를 중랑천과 동이로를 경계로 하여 성동구와 광진구로 분할, 현재에 이르고 있다.
",진달래,http://www.gwangjin.go.kr/portal/bbs/B0000001/list.do?menuNo=200190,Y,http://council.gwangjin.go.kr,1,구청장,http://www.gwangjin.go.kr/mayor/main/main.do,광이진이
"{'date': 6, 'day': 2, 'hours': 10, 'minutes': 19, 'month': 1, 'nanos': 0, 'seconds': 30, 'time': 1707182370000, 'timezoneOffset': -540, 'year': 124}",https://www.ddm.go.kr/tour/index.do,서울특별시 동대문구,느티나무,http://www.ddm.go.kr/ddm/organization.jsp,https://blog.naver.com/ddm4you/222626684286,이필형,서울특별시 동대문구,https://www.ddm.go.kr/www/contents.do?key=156,1123000000,"1. 한국과학기술원, 산업연구원 등? 8개 전문연구시설과, 경희대· 한국 외국어대· 서울시립대 등이 있는 교육도시
2. 청량리 역세권, 경동시장, 서울약령시 등을 중심으로 교통과 상권이 발달된 도시
3. 선농단, 세종대왕기념관 등 선조의 숨결이 배어있는 역사의 향기가 어린 고장",https://www.ddm.go.kr/www/selectBbsNttList.do?bbsNo=23&key=135,Dongdaemun-gu,동대문구청,https://www.ddm.go.kr/www/selectBbsNttList.do?bbsNo=15&key=122,백로,https://www.ddm.go.kr/www/contents.do?key=260,"(02565) 서울특별시 동대문구 천호대로145 
(용두동 39-9)",http://www.ddm.go.kr,14.22,"340,983","동대문구는 서울특별시의 동부에 있으며 서쪽으로는 중구, 남쪽으로는 성동구·광진구, 동쪽으로는 구리시, 북쪽으로는 중랑구·성북구와 접하고 있다. 면적 17.41㎢. 인구 36만 2146명이고 현재 26개동으로 되어 있다.

조선시대 한성부의 동부 12방중 성밖의 숭신·인창방에 속했으며 1914년 행정구역 변경으로 창신동·숭인동 외의 지역은 경기도 고양군 숭인면으로 편입시켰다. 1936년 경성부에 편입되어 동부출장소 관할 아래 있다가 1943년 구제 실시에 따라 동대문구가 설치되었다. 1949년 구 경계조정으로 돈암동 등 4개동이 성북구에 편입되었으며 1963년 경기도 양주군 구리면의 상봉리 등 5개리가 편입되었다. 1988년 면목동 등이 중랑구에 편입되었고 1988년 지방자치법 개정으로 자치구로 승격하였다.
",목련,https://www.ddm.go.kr/www/selectBbsNttList.do?bbsNo=38&key=198,Y,http://council.ddm.go.kr,1,구청장,https://www.ddm.go.kr/chief/index.do,꿈동이
"{'date': 6, 'day': 2, 'hours': 10, 'minutes': 19, 'month': 1, 'nanos': 0, 'seconds': 30, 'time': 1707182370000, 'timezoneOffset': -540, 'year': 124}",http://www.jungnang.go.kr/portal/culturetour/main.do?menuNo=200365,서울특별시 중랑구,느티나무,https://www.jungnang.go.kr/portal/bbs/list/B0000389.do?dept=01&menuNo=201180,https://www.jungnang.go.kr/portal/bbs/view/B0000002/30374.do?searchCnd=1&searchWrd=%EC%83%81%ED%92%88%EA%B6%8C&gubun=&delCode=0&useAt=&replyAt=&menuNo=200473&sdate=&edate=&deptId=&deptName=&popupYn=&dept=&dong=&option1=&viewType=&searchCnd2=&pageIndex=1,류경기,서울특별시 중랑구,http://www.jungnang.go.kr/portal/main/contents.do?menuNo=201027,1126000000,"1. 경기, 강원지역의 관문으로 서울 동북부의 교통 요충지역
2. 용마, 망우, 봉화산 등 자연녹지가 많은 전형적인 주거지역
3. 지속적인 개발을 통하여 새롭게 도약, 발전 하는 지역 ",http://www.jungnang.go.kr/portal/main/contents.do?menuNo=200431,Jungnang-gu,중랑구청,http://www.jungnang.go.kr/portal/ebook/list.do?programId=ebook&gubun=1011&sectionNm=%EC%A3%BC%EC%9A%94%EC%97%85%EB%AC%B4&menuNo=200406,까치,https://www.jungnang.go.kr/portal/main/contents.do?menuNo=200455,(02043) 서울시 중랑구 봉화산로 179(신내동 662),http://www.jungnang.go.kr,18.5,"382,284","중랑구는 서울특별시의 동북부에 있으며 주변에 노원구 성북구 동대문구와 경계를 이루며, 중랑천은 중랑구의 물리적 경계로서 묵동천과 면목천의 지천이 중랑포에서 합류하며, 북에서 남으로 흘러 한강에 합류한다. 면적 18.52㎢. 인구 42만 1216명이고 현재 행정구역은 16개 동을 관할한다.

망우산을 중심으로 삼각점이 되는 봉화산과 용마산 지역에 구석기, 청동기 시대의 각종 유물들이 출토되어 중랑지역의 역사는 기원전 3만 년 후기 구석기 시대로 거슬러 올라간다. 고려초 983년 전국에 12목을 설치하면서 양주목이 되었다. 1896년 한성부에서 분리 양주를 양주군으로 경기도에 속하게 되었다. 1949년 서울특별시 구역 확장으로 고양군 뚝도면 면목리가 서울시로 편입, 1963년 다시 양주군 구리면의 상봉·중화·묵·망우·신내리가 편입되었다. 이때 망우리에 망우출장소가 설치되었다가, 1968년 폐지됨에 따라 동대문구에 편입되었다. 1988년 인구 과대구를 분구하여 중랑·노원·서초·양천·송파의 5개구가 증설되었는데, 중랑구는 동대문구로부터 분리·신설 되었다.   
",배꽃,http://www.jungnang.go.kr/portal/bbs/list/B0000002.do?menuNo=200473,Y,https://council.jungnang.go.kr/,1,구청장,http://mayor.jungnang.go.kr/mayor/main.do,중랑이
"{'date': 6, 'day': 2, 'hours': 10, 'minutes': 19, 'month': 1, 'nanos': 0, 'seconds': 30, 'time': 1707182370000, 'timezoneOffset': -540, 'year': 124}",http://www.sb.go.kr/tour/mainPage.do,서울특별시 성북구,감나무,https://www.sb.go.kr/main/PageLink.do?link=forward:/sb_new/seongbukgu/organization/organization.do&menuNo=95000000&subMenuNo=95020000&thirdMenuNo=95020300&fourthMenuNo= ,https://blog.naver.com/storysb/223051173665,이승로,서울특별시 성북구,https://www.sb.go.kr/main/PageLink.do?link=forward:use/PageContent.do&menuNo=93000000&subMenuNo=93020000&thirdMenuNo=93021000&fourthMenuNo=  ,1129000000,"1. 국보급 문화재와 9개 종합대학이 위치한 역사,문화,교육의 중심 도시

2. 도시기반시설 확충과 지역 개발사업이 활발히 진행 중인 발전 도시

3. 북한산, 성북천,정릉천, 서울성곽 등 수려한 자연경관의 친환경도시",https://www.sb.go.kr/PageLink.do?link=forward:use/cop/bbs/selectBoardList.do?bbsId=B0031_main&tempParam1=&menuNo=93000000&subMenuNo=93060000&thirdMenuNo=93060400&fourthMenuNo= ,Seongbuk-gu,성북구청,https://www.sb.go.kr/main/PageLink.do?link=forward:use/PageContent.do&menuNo=93000000&subMenuNo=93030000&thirdMenuNo=93030100&fourthMenuNo= ,참새,https://www.sb.go.kr/PageLink.do?menuNo=95000000&subMenuNo=95010000&thirdMenuNo=95010400&fourthMenuNo=&modified=false&branchId=main&link=forward:use/PageContent.do,&#40;136-706&#41; 서울특별시 성북구 보문로 168&#40;삼선동5가 411&#41;,http://www.sb.go.kr/,24.57,"424,916","성북구는 서울특별시의 북쪽에 있으며 북한산의 능선을 경계로 종로구와 인접해 있다. 면적 24.57㎢. 인구 47만 6028명이고 현재 30개 동으로 되어 있다.



부터 서울의 도성 바깥 지역으로 태조 5년&#40;1396년&#41; 한성부내 동부 숭인방&#40;崇仁坊&#41;과 인창방&#40;仁昌坊&#41;에 속하였다. 1914년 경기도 고양군 숭인면&#40;崇仁面&#41;이 되었다가 1936년 경성부의 관할구역 확장으로 경성부에 편입되어 동부출장소에 속하였다. 1949년 서울시의 행정구역 확장시에 고양군 숭인면의 9개리와 동대문구의 일부를 합해 성북구가 신설되었으며 1963년에 양주군 노해면&#40;蘆海面&#41;의 9개리를 편입하여 노해출장소가 설치되었다. 1973년에 숭인·노해출장소 관할구역이 도봉구&#40;道峰區&#41;로 분리, 신설되었다. 1975년 남동부의 동대문구와 경계를 일부 조정하였다.

",진달래,https://www.sb.go.kr/PageLink.do?link=forward:use/cop/bbs/selectBoardList.do?bbsId=B0317_main&tempParam1=&menuNo=95000000&subMenuNo=95030000&thirdMenuNo=95031000&fourthMenuNo=,Y,http://www.sbc.go.kr,1,구청장,http://www.sb.go.kr/mayor/mainPage.do,없음
"{'date': 6, 'day': 2, 'hours': 10, 'minutes': 19, 'month': 1, 'nanos': 0, 'seconds': 30, 'time': 1707182370000, 'timezoneOffset': -540, 'year': 124}",http://www.gangbuk.go.kr/tour/index.do,서울특별시 강북구,소나무,http://www.gangbuk.go.kr/www/contents.do?key=305,http://www.gangbuk.go.kr/www/contents.do?key=11844,이순희,서울특별시 강북구,https://www.gangbuk.go.kr/www/contents.do?key=11724,1130500000,"1. 뉴타운, 균형발전촉지지구개발 등 서울의 동북부 신성장 중심도시
2. 명승 삼각산이 입지하며, 자연과 어우러진 문화재와 전통사찰 등 많은 문화 유산으로 사시사철 관광객이 찾는 관광명소
3. 순국선열, 애국지사묘역 등 수 많은 민주 영령들의 숭고한 정신이 깃들은 민족 성지",http://www.gangbuk.go.kr/www/boardList.do?boardSeq=31&key=246,Gangbuk-gu,강북구청,https://www.gangbuk.go.kr/www/contents.do?key=11444,까치,http://www.gangbuk.go.kr/www/contents.do?key=6402,"(142-701) 서울특별시 강북구 도봉로 89길 13 
(수유동 192-59)",http://www.gangbuk.go.kr,23.6,"287,490","강북구는 서울특별시 동북부에 있으며 동쪽은 노원구·도봉구, 서쪽은 경기도 고양시, 남쪽은 성북구, 북쪽은 경기도 양주시·도봉구와 접하고 있다. 면적 23.61㎢. 인구 34만 367명이고 법정 동은 미아동, 번동, 수유동, 우이동 4개 동이며 행정 동은 13개 동으로 나뉘어져 있다.

조선시대에 경기도 양주고을이었다. 1914년 일제의 행정구역 개편으로 지금의 미아동, 번동, 수유동, 우이동 지역이 경기도 고양군 숭인면에 편입되었고, 1949년 대통령령에 의해 경기도 고양군 숭인면 일부 지역이 서울특별시에 편입되었다. 1973년 성북구에서 도봉구가 분구되었고, 구간 경계구역 조정을 거쳐 1995년 도붕구에서 강북구가 분구되었다.
",진달래,http://www.gangbuk.go.kr/www/boardList.do?boardSeq=41&key=285,Y,http://council.gangbuk.go.kr,1,구청장,http://www.gangbuk.go.kr/chairman/index.do,없음
