개방시설명,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,소재지도로명주소,소재지지번주소,사용안내전화번호,위도,경도,데이터기준일자
평창군문화복지센터,공휴일+일요일,9:00,22:00,9:00,18:00,Y,,"강당/다목적강당:80000(오전)+80000(오후)+100000(야간)+150,000(1일",,,80,,강원도 평창군 평창읍 평창중앙로 67,강원도 평창군 평창읍 하리 113-1,033-330-2040,37.3687683,128.3948846,2022-11-30
미탄복지회관,연중무휴,9:00,18:00,9:00,18:00,Y,2,40000,,,,437.58,강원도 평창군 미탄면 청옥산1길 3-9,강원도 평창군 미탄면 창리 617,033-330-2116,37.34246503,128.4957215,2022-11-30
미탄복지회관,연중무휴,9:00,18:00,9:00,18:00,Y,4,30000,,,,673.71,강원도 평창군 피탄면 청옥산1길 13,강원도 평창군 미탄면 창리 607-1,033-330-2116,37.3428273,128.4962538,2022-11-30
방림복지회관,연중무휴,9:00,18:00,9:00,18:00,Y,4,30000,,,,659.68,강원도 평창군 방림면 서동로 1338-3,강원도 평창군 방림면 방림리 1271-2,033-330-2116,37.42556013,128.3940269,2022-11-30
계촌복지회관,연중무휴,9:00,18:00,9:00,18:00,Y,4,30000,,,,587.92,강원도 평창군 방림면 계촌길 101,강원도 평창군 방림면 계촌리 1410-10,033-330-2116,37.45232828,128.3060731,2022-11-30
봉평복지회관,연중무휴,9:00,18:00,9:00,18:00,Y,4,30000,,,,474.21,강원도 평창군 봉평면 기풍4길 10,강원도 평창군 봉평면 창동리 345,033-330-2116,37.61610088,128.3793248,2022-11-30
우리누리청소년문화센터 도서관,"매월 2째주, 4째주 일요일",10:00,19:00,10:00,18:00,N,,,,,50,118,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,055-712-0320,35.240104,128.590761,2020-12-02
우리누리청소년문화센터 소공연장,"매월 2째주, 4째주 일요일",9:00,22:00,9:00,22:00,Y,,70000,,,200,258,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,055-712-0315,35.240104,128.590761,2020-12-02
우리누리청소년문화센터 다목적실,"매월 2째주, 4째주 일요일",9:00,22:00,9:00,22:00,Y,,"50,000",,,40,96,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,055-712-0315,35.240104,128.590761,2020-12-02
우리누리청소년문화센터 체육관,"매월 2째주, 4째주 일요일",9:00,22:00,9:00,20:00,Y,,50000,,,630,1.159.57,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,055-712-0315,35.240104,128.590761,2020-12-02
늘푸른전당 공연장,연중무휴,9:00,22:00,9:00,22:00,Y,,"80,000",2,40000,648,1037,경상남도 창원시 의창구 두대로 97,경상남도 창원시 의창구 삼동동 293,055-712-0377,35.229894,128.653836,2020-12-02
늘푸른전당 체육관,연중무휴,9:00,22:00,9:00,22:00,Y,4,3,2,20000,1000,842,경상남도 창원시 의창구 두대로 98,경상남도 창원시 의창구 삼동동 250,055-712-0354,35.229894,128.653836,2020-12-02
늘푸른전당 수영장,"매월 2째주, 4째주 일요일",6:00,20:00,6:00,18:00,Y,,3500,,,390,1287,경상남도 창원시 의창구 두대로 98,경상남도 창원시 의창구 삼동동 250,055-712-0379,35.229894,128.653836,2020-12-02
늘푸른전당 헬스장,"매월 2째주, 4째주 일요일",6:00,21:00,6:00,18:00,Y,,3000,,,226,226,경상남도 창원시 의창구 두대로 98,경상남도 창원시 의창구 삼동동 250,055-712-0380,35.229894,128.653836,2020-12-02
문학동행정복지센터 회의실,토+일+공휴일,9:00,18:00,0:00,0:00,N,1,0,1,,20,112,인천광역시 미추홀구 소성로 339,인천광역시 미추홀구 문학동 385-6,032-728-6501,37.43768495,126.6850043,2023-12-15
문학동행정복지센터 다목적실,토+일+공휴일,9:00,18:00,0:00,0:00,N,1,0,1,,20,146,인천광역시 미추홀구 소성로 339,인천광역시 미추홀구 문학동 385-6,032-728-6501,37.43768495,126.6850043,2023-12-15
금산다락원 만남의집 대회의실,토+공휴일,9:00,21:00,0:00,0:00,N,,,,,25,,충청남도 금산군 금산읍 금산로 1559,,041-750-3482,36.11206663,127.4916234,2023-12-15
금산다락원 만남의집 소회의실,토+공휴일,9:00,21:00,0:00,0:00,N,,,,,15,,충청남도 금산군 금산읍 금산로 1559,,041-750-3482,36.11206663,127.4916388,2023-12-15
금산다락원 청산아트홀,공휴일,9:00,21:00,9:00,18:00,N,,,,,50,132,충청남도 금산군 금산읍 금산로 1559,,041-750-3493,36.11206663,127.4916234,2023-12-15
